epoch,outcome_train_loss,outcome_val_loss,step
0,1.7703388929367065,,0
0,,1.802571177482605,0
1,1.7684041261672974,,1
1,,1.8004804849624634,1
2,1.7664741277694702,,2
2,,1.7983945608139038,2
3,1.764548659324646,,3
3,,1.7963135242462158,3
4,1.7626277208328247,,4
4,,1.7942372560501099,4
5,1.7607115507125854,,5
5,,1.7921663522720337,5
6,1.7588001489639282,,6
6,,1.79010009765625,6
7,1.7568933963775635,,7
7,,1.7880388498306274,7
8,1.7549911737442017,,8
8,,1.7859829664230347,8
9,1.753093957901001,,9
9,,1.7839313745498657,9
