epoch,exposure_train_loss,exposure_val_loss,step
0,2.9052929878234863,,0
0,,2.6835663318634033,0
1,2.8931846618652344,,1
1,,2.683723211288452,1
2,2.8812248706817627,,2
2,,2.6838340759277344,2
3,2.869448661804199,,3
3,,2.683889150619507,3
4,2.857841968536377,,4
4,,2.6838572025299072,4
5,2.8463892936706543,,5
5,,2.6837401390075684,5
6,2.8351190090179443,,6
6,,2.6835336685180664,6
7,2.8240585327148438,,7
7,,2.683224678039551,7
8,2.813199520111084,,8
8,,2.6828360557556152,8
9,2.8025102615356445,,9
9,,2.68235182762146,9
