epoch,exposure_train_loss,exposure_val_loss,step
0,2.8290114402770996,,0
0,,2.6536266803741455,0
1,2.817203998565674,,1
1,,2.642997980117798,1
2,2.8056044578552246,,2
2,,2.6327059268951416,2
3,2.7941720485687256,,3
3,,2.622753620147705,3
4,2.7829391956329346,,4
4,,2.613041400909424,4
5,2.771921157836914,,5
5,,2.6035878658294678,5
6,2.761096954345703,,6
6,,2.5943775177001953,6
7,2.750439405441284,,7
7,,2.5853617191314697,7
8,2.7399535179138184,,8
8,,2.5765540599823,8
9,2.7296550273895264,,9
9,,2.567858934402466,9
