epoch,outcome_train_loss,outcome_val_loss,step
0,2.578956127166748,,0
0,,2.639714241027832,0
1,2.574314594268799,,1
1,,2.635128974914551,1
2,2.56968092918396,,2
2,,2.630551338195801,2
3,2.5650551319122314,,3
3,,2.6259818077087402,3
4,2.5604379177093506,,4
4,,2.6214194297790527,4
5,2.555828332901001,,5
5,,2.616865396499634,5
6,2.551227331161499,,6
6,,2.612319231033325,6
7,2.5466346740722656,,7
7,,2.607781410217285,7
8,2.542050361633301,,8
8,,2.6032514572143555,8
9,2.5374743938446045,,9
9,,2.5987296104431152,9
10,2.532907009124756,,10
10,,2.5942158699035645,10
11,2.528347969055176,,11
11,,2.5897107124328613,11
12,2.5237975120544434,,12
12,,2.5852134227752686,12
13,2.519256114959717,,13
13,,2.5807247161865234,13
14,2.514723300933838,,14
14,,2.5762436389923096,14
15,2.5101993083953857,,15
15,,2.5717711448669434,15
16,2.505683660507202,,16
16,,2.567307472229004,16
17,2.501176595687866,,17
17,,2.5628514289855957,17
18,2.496677875518799,,18
18,,2.558403730392456,18
19,2.4921882152557373,,19
19,,2.553964376449585,19
20,2.4877073764801025,,20
20,,2.5495331287384033,20
21,2.4832346439361572,,21
21,,2.545109748840332,21
22,2.4787702560424805,,22
22,,2.54069447517395,22
23,2.4743149280548096,,23
23,,2.536287546157837,23
24,2.46986722946167,,24
24,,2.531888246536255,24
25,2.465427875518799,,25
25,,2.527496576309204,25
26,2.4609971046447754,,26
26,,2.5231127738952637,26
27,2.4565742015838623,,27
27,,2.5187363624572754,27
28,2.4521594047546387,,28
28,,2.5143673419952393,28
29,2.4477522373199463,,29
29,,2.5100064277648926,29
30,2.4433529376983643,,30
30,,2.5056521892547607,30
31,2.4389612674713135,,31
31,,2.501305103302002,31
32,2.434577226638794,,32
32,,2.496964931488037,32
33,2.4302003383636475,,33
33,,2.4926319122314453,33
34,2.425830841064453,,34
34,,2.4883053302764893,34
35,2.421468496322632,,35
35,,2.4839859008789062,35
36,2.4171133041381836,,36
36,,2.47967267036438,36
37,2.41276478767395,,37
37,,2.475365400314331,37
38,2.4084227085113525,,38
38,,2.471064567565918,38
39,2.404087543487549,,39
39,,2.4667696952819824,39
40,2.3997585773468018,,40
40,,2.4624810218811035,40
41,2.3954360485076904,,41
41,,2.458198070526123,41
42,2.3911194801330566,,42
42,,2.453920364379883,42
43,2.3868091106414795,,43
43,,2.449648141860962,43
44,2.3825042247772217,,44
44,,2.4453814029693604,44
45,2.3782052993774414,,45
45,,2.44111967086792,45
46,2.3739116191864014,,46
46,,2.4368624687194824,46
47,2.3696231842041016,,47
47,,2.4326107501983643,47
48,2.365340232849121,,48
48,,2.42836332321167,48
49,2.361062526702881,,49
49,,2.4241206645965576,49
50,2.3567893505096436,,50
50,,2.419882297515869,50
51,2.3525211811065674,,51
51,,2.4156482219696045,51
52,2.3482577800750732,,52
52,,2.4114181995391846,52
53,2.3439981937408447,,53
53,,2.4071919918060303,53
54,2.3397436141967773,,54
54,,2.4029698371887207,54
55,2.3354930877685547,,55
55,,2.3987510204315186,55
56,2.3312466144561768,,56
56,,2.394535779953003,56
57,2.3270039558410645,,57
57,,2.390324115753174,57
58,2.3227651119232178,,58
58,,2.386115789413452,58
59,2.318530321121216,,59
59,,2.3819100856781006,59
60,2.314298629760742,,60
60,,2.3777077198028564,60
61,2.310070276260376,,61
61,,2.3735084533691406,61
62,2.3058457374572754,,62
62,,2.369312047958374,62
63,2.301624059677124,,63
63,,2.3651180267333984,63
64,2.29740571975708,,64
64,,2.360926866531372,64
65,2.2931902408599854,,65
65,,2.3567378520965576,65
66,2.288977861404419,,66
66,,2.3525514602661133,66
67,2.2847678661346436,,67
67,,2.348367214202881,67
68,2.2805609703063965,,68
68,,2.3441853523254395,68
69,2.2763566970825195,,69
69,,2.3400051593780518,69
70,2.2721550464630127,,70
70,,2.335827350616455,70
71,2.2679555416107178,,71
71,,2.331651449203491,71
72,2.2637581825256348,,72
72,,2.327476978302002,72
73,2.259563684463501,,73
73,,2.3233048915863037,73
74,2.25537109375,,74
74,,2.319133996963501,74
75,2.25118088722229,,75
75,,2.314964771270752,75
76,2.246992349624634,,76
76,,2.3107974529266357,76
77,2.2428059577941895,,77
77,,2.306631565093994,77
78,2.2386221885681152,,78
78,,2.302466869354248,78
79,2.2344393730163574,,79
79,,2.2983033657073975,79
80,2.2302589416503906,,80
80,,2.2941417694091797,80
81,2.2260799407958984,,81
81,,2.289980888366699,81
82,2.221903085708618,,82
82,,2.2858214378356934,82
83,2.2177278995513916,,83
83,,2.281663656234741,83
84,2.2135541439056396,,84
84,,2.2775063514709473,84
85,2.2093822956085205,,85
85,,2.273350477218628,85
86,2.205211877822876,,86
86,,2.269195795059204,86
87,2.201042890548706,,87
87,,2.2650420665740967,87
88,2.196875810623169,,88
88,,2.2608890533447266,88
89,2.1927101612091064,,89
89,,2.256737470626831,89
90,2.1885459423065186,,90
90,,2.252586841583252,90
91,2.1843833923339844,,91
91,,2.2484371662139893,91
92,2.180222272872925,,92
92,,2.244288682937622,92
93,2.176062822341919,,93
93,,2.240140676498413,93
94,2.1719045639038086,,94
94,,2.2359938621520996,94
95,2.167747974395752,,95
95,,2.2318482398986816,95
96,2.16359281539917,,96
96,,2.227703332901001,96
97,2.1594393253326416,,97
97,,2.223559617996216,97
98,2.1552867889404297,,98
98,,2.219417095184326,98
99,2.1511363983154297,,99
99,,2.2152750492095947,99
100,2.1469876766204834,,100
100,,2.211134195327759,100
101,2.1428403854370117,,101
101,,2.2069947719573975,101
102,2.1386942863464355,,102
102,,2.2028565406799316,102
103,2.1345503330230713,,103
103,,2.198718786239624,103
104,2.1304078102111816,,104
104,,2.194582462310791,104
105,2.126267194747925,,105
105,,2.1904475688934326,105
106,2.1221277713775635,,106
106,,2.1863133907318115,106
107,2.117990493774414,,107
107,,2.182180643081665,107
108,2.1138548851013184,,108
108,,2.178049325942993,108
109,2.1097214221954346,,109
109,,2.173919200897217,109
110,2.1055896282196045,,110
110,,2.169790506362915,110
111,2.1014597415924072,,111
111,,2.165663003921509,111
112,2.097332000732422,,112
112,,2.1615374088287354,112
113,2.0932064056396484,,113
113,,2.1574130058288574,113
114,2.0890824794769287,,114
114,,2.153290271759033,114
115,2.0849609375,,115
115,,2.1491689682006836,115
116,2.0808420181274414,,116
116,,2.145049810409546,116
117,2.0767252445220947,,117
117,,2.140932083129883,117
118,2.072610855102539,,118
118,,2.1368165016174316,118
119,2.0684988498687744,,119
119,,2.132702589035034,119
120,2.064389228820801,,120
120,,2.1285908222198486,120
121,2.0602824687957764,,121
121,,2.124480724334717,121
122,2.056178331375122,,122
122,,2.120373249053955,122
123,2.052076578140259,,123
123,,2.1162679195404053,123
124,2.047977924346924,,124
124,,2.112164258956909,124
125,2.043882131576538,,125
125,,2.1080634593963623,125
126,2.0397896766662598,,126
126,,2.1039650440216064,126
127,2.0356998443603516,,127
127,,2.0998692512512207,127
128,2.031613349914551,,128
128,,2.095775842666626,128
129,2.0275304317474365,,129
129,,2.0916852951049805,129
130,2.0234508514404297,,130
130,,2.087597608566284,130
131,2.019374370574951,,131
131,,2.083512783050537,131
132,2.0153017044067383,,132
132,,2.07943058013916,132
133,2.011232376098633,,133
133,,2.0753519535064697,133
134,2.007167100906372,,134
134,,2.0712761878967285,134
135,2.003105401992798,,135
135,,2.0672037601470947,135
136,1.999048113822937,,136
136,,2.0631346702575684,136
137,1.9949946403503418,,137
137,,2.0590691566467285,137
138,1.9909453392028809,,138
138,,2.055007219314575,138
139,1.9869000911712646,,139
139,,2.0509486198425293,139
140,1.982859492301941,,140
140,,2.0468943119049072,140
141,1.9788235425949097,,141
141,,2.0428435802459717,141
142,1.9747920036315918,,142
142,,2.038796901702881,142
143,1.9707647562026978,,143
143,,2.0347542762756348,143
