epoch,exposure_train_loss,exposure_val_loss,step
0,2.7479937076568604,,0
0,,2.5485246181488037,0
1,2.7373204231262207,,1
1,,2.542397975921631,1
2,2.7268195152282715,,2
2,,2.5363681316375732,2
3,2.716548442840576,,3
3,,2.5304040908813477,3
4,2.7065162658691406,,4
4,,2.5245110988616943,4
5,2.6966922283172607,,5
5,,2.518704891204834,5
6,2.6870920658111572,,6
6,,2.5129587650299072,6
7,2.677731990814209,,7
7,,2.507256031036377,7
8,2.6685874462127686,,8
8,,2.50167179107666,8
9,2.659694194793701,,9
9,,2.496182918548584,9
