epoch,exposure_train_loss,exposure_val_loss,step
0,3.007561206817627,,0
0,,2.635092258453369,0
1,2.9929864406585693,,1
1,,2.6394054889678955,1
2,2.978558301925659,,2
2,,2.643770456314087,2
3,2.9643173217773438,,3
3,,2.6481618881225586,3
4,2.9502618312835693,,4
4,,2.6525230407714844,4
5,2.9363903999328613,,5
5,,2.6568548679351807,5
6,2.9227099418640137,,6
6,,2.661100387573242,6
7,2.9092605113983154,,7
7,,2.6652472019195557,7
8,2.896008253097534,,8
8,,2.6692166328430176,8
9,2.8829638957977295,,9
9,,2.6729824542999268,9
