epoch,exposure_train_loss,exposure_val_loss,step
0,2.8959717750549316,,0
0,,2.660491704940796,0
1,2.882614850997925,,1
1,,2.6614460945129395,1
2,2.8694989681243896,,2
2,,2.6622629165649414,2
3,2.85662579536438,,3
3,,2.662935256958008,3
4,2.843980550765991,,4
4,,2.6634654998779297,4
5,2.831597089767456,,5
5,,2.6638123989105225,5
6,2.8194544315338135,,6
6,,2.663954734802246,6
7,2.8075597286224365,,7
7,,2.663877487182617,7
8,2.7959561347961426,,8
8,,2.6635630130767822,8
9,2.7846016883850098,,9
9,,2.662992477416992,9
