epoch,exposure_train_loss,exposure_val_loss,step
0,2.8157315254211426,,0
0,,2.5607199668884277,0
1,2.804368019104004,,1
1,,2.557685613632202,1
2,2.793184757232666,,2
2,,2.5545766353607178,2
3,2.782198905944824,,3
3,,2.551393985748291,3
4,2.7714221477508545,,4
4,,2.5481343269348145,4
5,2.7608792781829834,,5
5,,2.5447957515716553,5
6,2.7505874633789062,,6
6,,2.541350841522217,6
7,2.7404978275299072,,7
7,,2.5377774238586426,7
8,2.7306020259857178,,8
8,,2.5340535640716553,8
9,2.72090744972229,,9
9,,2.5301907062530518,9
