epoch,exposure_train_loss,exposure_val_loss,step
0,2.6841847896575928,,0
0,,2.439209461212158,0
1,2.670940637588501,,1
1,,2.433772087097168,1
2,2.6579575538635254,,2
2,,2.4282472133636475,2
3,2.645214557647705,,3
3,,2.4226460456848145,3
4,2.6327507495880127,,4
4,,2.4169540405273438,4
5,2.6205358505249023,,5
5,,2.411170721054077,5
6,2.6085855960845947,,6
6,,2.405294418334961,6
7,2.59689998626709,,7
7,,2.3993077278137207,7
8,2.5854451656341553,,8
8,,2.393204689025879,8
9,2.5742294788360596,,9
9,,2.386986255645752,9
10,2.5632619857788086,,10
10,,2.3806049823760986,10
11,2.5525453090667725,,11
11,,2.3740930557250977,11
12,2.542052984237671,,12
12,,2.3674914836883545,12
13,2.531827926635742,,13
13,,2.3608057498931885,13
14,2.5218472480773926,,14
14,,2.3540289402008057,14
15,2.5121147632598877,,15
15,,2.3471896648406982,15
16,2.50266432762146,,16
16,,2.340333938598633,16
17,2.4935386180877686,,17
17,,2.33343505859375,17
18,2.4846534729003906,,18
18,,2.326524257659912,18
19,2.4760122299194336,,19
19,,2.319701910018921,19
20,2.4675726890563965,,20
20,,2.312849760055542,20
21,2.459353446960449,,21
21,,2.3060483932495117,21
22,2.4513301849365234,,22
22,,2.299365997314453,22
23,2.4435107707977295,,23
23,,2.292848587036133,23
24,2.435908317565918,,24
24,,2.2865183353424072,24
25,2.428513526916504,,25
25,,2.2804224491119385,25
26,2.4213509559631348,,26
26,,2.2744481563568115,26
27,2.4144444465637207,,27
27,,2.268594980239868,27
28,2.4077513217926025,,28
28,,2.2629969120025635,28
29,2.401275873184204,,29
29,,2.25773286819458,29
30,2.395047426223755,,30
30,,2.2527217864990234,30
31,2.3890299797058105,,31
31,,2.247950553894043,31
32,2.3832104206085205,,32
32,,2.2434287071228027,32
33,2.3775906562805176,,33
33,,2.239119529724121,33
34,2.372134208679199,,34
34,,2.235074043273926,34
35,2.3668508529663086,,35
35,,2.2312815189361572,35
36,2.361741542816162,,36
36,,2.227658748626709,36
37,2.3568222522735596,,37
37,,2.224196672439575,37
38,2.35207200050354,,38
38,,2.2208573818206787,38
39,2.347492218017578,,39
39,,2.2176201343536377,39
40,2.3430747985839844,,40
40,,2.2145283222198486,40
41,2.3388071060180664,,41
41,,2.2116541862487793,41
42,2.334702730178833,,42
42,,2.2088990211486816,42
43,2.3307323455810547,,43
43,,2.2063424587249756,43
44,2.326899528503418,,44
44,,2.2039742469787598,44
45,2.3231942653656006,,45
45,,2.2017791271209717,45
46,2.319603681564331,,46
46,,2.1997313499450684,46
47,2.3161299228668213,,47
47,,2.197786331176758,47
48,2.3127753734588623,,48
48,,2.1959333419799805,48
49,2.3095405101776123,,49
49,,2.194150686264038,49
50,2.306403398513794,,50
50,,2.1924355030059814,50
51,2.303356409072876,,51
51,,2.1908130645751953,51
52,2.300405263900757,,52
52,,2.1892967224121094,52
53,2.297562837600708,,53
53,,2.1878366470336914,53
54,2.2948291301727295,,54
54,,2.186429977416992,54
55,2.2921977043151855,,55
55,,2.1850640773773193,55
56,2.289659023284912,,56
56,,2.183734655380249,56
57,2.287208080291748,,57
57,,2.1824560165405273,57
58,2.284838914871216,,58
58,,2.1812539100646973,58
59,2.2825379371643066,,59
59,,2.180084466934204,59
60,2.2802979946136475,,60
60,,2.178953170776367,60
61,2.2781312465667725,,61
61,,2.1778814792633057,61
62,2.2760353088378906,,62
62,,2.1768805980682373,62
63,2.2739930152893066,,63
63,,2.1759135723114014,63
64,2.272012948989868,,64
64,,2.1749651432037354,64
65,2.270082473754883,,65
65,,2.174025297164917,65
66,2.268197774887085,,66
66,,2.1731042861938477,66
67,2.2663609981536865,,67
67,,2.172210931777954,67
68,2.264580726623535,,68
68,,2.171344757080078,68
69,2.262857437133789,,69
69,,2.1705121994018555,69
70,2.261186122894287,,70
70,,2.1696834564208984,70
71,2.2595624923706055,,71
71,,2.1688830852508545,71
72,2.2579798698425293,,72
72,,2.1681058406829834,72
73,2.256439685821533,,73
73,,2.1673529148101807,73
74,2.2549326419830322,,74
74,,2.166612148284912,74
75,2.2534546852111816,,75
75,,2.1658763885498047,75
76,2.2520062923431396,,76
76,,2.1651456356048584,76
77,2.2505903244018555,,77
77,,2.1644399166107178,77
78,2.2492096424102783,,78
78,,2.1637344360351562,78
79,2.247856378555298,,79
79,,2.1630380153656006,79
80,2.2465317249298096,,80
80,,2.1623473167419434,80
81,2.245234489440918,,81
81,,2.161668539047241,81
82,2.2439651489257812,,82
82,,2.161013126373291,82
83,2.2427186965942383,,83
83,,2.1603682041168213,83
84,2.2414941787719727,,84
84,,2.159736156463623,84
85,2.240298271179199,,85
85,,2.1591200828552246,85
86,2.239122152328491,,86
86,,2.158519744873047,86
87,2.2379653453826904,,87
