epoch,exposure_train_loss,exposure_val_loss,step
0,2.6785082817077637,,0
0,,2.499755859375,0
1,2.667335033416748,,1
1,,2.4996049404144287,1
2,2.656355381011963,,2
2,,2.499131679534912,2
3,2.6455821990966797,,3
3,,2.498314380645752,3
4,2.635016679763794,,4
4,,2.497138261795044,4
5,2.6246654987335205,,5
5,,2.4955687522888184,5
6,2.614548444747925,,6
6,,2.4935834407806396,6
7,2.6046571731567383,,7
7,,2.491196393966675,7
8,2.5950019359588623,,8
8,,2.4883873462677,8
9,2.5855612754821777,,9
9,,2.4851741790771484,9
