epoch,exposure_train_loss,exposure_val_loss,step
0,2.875169038772583,,0
0,,2.6654717922210693,0
1,2.862717628479004,,1
1,,2.662931442260742,1
2,2.850459337234497,,2
2,,2.6603527069091797,2
3,2.8383989334106445,,3
3,,2.6576931476593018,3
4,2.8265347480773926,,4
4,,2.6549673080444336,4
5,2.8148891925811768,,5
5,,2.6521363258361816,5
6,2.8034424781799316,,6
6,,2.649199962615967,6
7,2.792226791381836,,7
7,,2.6461527347564697,7
8,2.781247854232788,,8
8,,2.642986297607422,8
9,2.7705013751983643,,9
9,,2.639657497406006,9
