epoch,exposure_train_loss,exposure_val_loss,step
0,2.8091373443603516,,0
0,,2.517184019088745,0
1,2.7956628799438477,,1
1,,2.5236668586730957,1
2,2.7824020385742188,,2
2,,2.529954195022583,2
3,2.7693750858306885,,3
3,,2.535984992980957,3
4,2.7565982341766357,,4
4,,2.5417532920837402,4
5,2.744060516357422,,5
5,,2.5472428798675537,5
6,2.7317862510681152,,6
6,,2.5524344444274902,6
7,2.719769239425659,,7
7,,2.5573015213012695,7
8,2.707963466644287,,8
8,,2.5618300437927246,8
9,2.696401357650757,,9
9,,2.56596040725708,9
10,2.6850571632385254,,10
10,,2.5696651935577393,10
11,2.673950672149658,,11
11,,2.572903633117676,11
12,2.663109302520752,,12
12,,2.5756614208221436,12
13,2.6525161266326904,,13
13,,2.577913761138916,13
14,2.6421592235565186,,14
14,,2.5796027183532715,14
15,2.63205885887146,,15
15,,2.5807313919067383,15
16,2.6222047805786133,,16
16,,2.5812628269195557,16
17,2.612577199935913,,17
17,,2.5811729431152344,17
18,2.6032114028930664,,18
18,,2.5804131031036377,18
19,2.594106674194336,,19
19,,2.579047918319702,19
20,2.585237979888916,,20
20,,2.577085018157959,20
