epoch,exposure_train_loss,exposure_val_loss,step
0,1.696710228919983,,0
0,,1.50496244430542,0
1,1.6855111122131348,,1
1,,1.4958418607711792,1
2,1.6744493246078491,,2
2,,1.487054705619812,2
3,1.6635557413101196,,3
3,,1.4785970449447632,3
4,1.6528643369674683,,4
4,,1.4704594612121582,4
5,1.642366647720337,,5
5,,1.4626436233520508,5
6,1.6320490837097168,,6
6,,1.4550851583480835,6
7,1.6218982934951782,,7
7,,1.44780695438385,7
8,1.6119309663772583,,8
8,,1.4407787322998047,8
9,1.6021584272384644,,9
9,,1.4339936971664429,9
10,1.5925986766815186,,10
10,,1.4274367094039917,10
11,1.5832741260528564,,11
11,,1.4211381673812866,11
12,1.5741746425628662,,12
12,,1.415055274963379,12
13,1.5652743577957153,,13
13,,1.4091733694076538,13
14,1.5565661191940308,,14
14,,1.4034613370895386,14
15,1.5480691194534302,,15
15,,1.3979363441467285,15
16,1.539777398109436,,16
16,,1.3925888538360596,16
17,1.5316672325134277,,17
17,,1.3874191045761108,17
18,1.5237733125686646,,18
18,,1.382478952407837,18
19,1.516093134880066,,19
19,,1.3777350187301636,19
20,1.508641004562378,,20
20,,1.3731603622436523,20
21,1.501397967338562,,21
21,,1.3687491416931152,21
22,1.4943640232086182,,22
22,,1.3645234107971191,22
23,1.4875458478927612,,23
23,,1.360461950302124,23
24,1.4809542894363403,,24
24,,1.3566149473190308,24
25,1.4745429754257202,,25
25,,1.3529802560806274,25
26,1.4683218002319336,,26
26,,1.3495757579803467,26
27,1.4623252153396606,,27
27,,1.3463780879974365,27
28,1.4565608501434326,,28
28,,1.3433661460876465,28
29,1.4510295391082764,,29
29,,1.340631127357483,29
30,1.44569993019104,,30
30,,1.3382024765014648,30
31,1.4406181573867798,,31
31,,1.3359966278076172,31
32,1.4357470273971558,,32
32,,1.3339916467666626,32
33,1.431049108505249,,33
33,,1.332256555557251,33
34,1.4265251159667969,,34
34,,1.3307629823684692,34
35,1.4221946001052856,,35
35,,1.3295131921768188,35
36,1.4180412292480469,,36
36,,1.3284903764724731,36
37,1.4140427112579346,,37
37,,1.3276982307434082,37
38,1.4102108478546143,,38
38,,1.3271526098251343,38
39,1.4065351486206055,,39
39,,1.3268975019454956,39
40,1.4030406475067139,,40
40,,1.3268369436264038,40
41,1.3996907472610474,,41
41,,1.3269060850143433,41
42,1.3964823484420776,,42
42,,1.3271105289459229,42
43,1.393405556678772,,43
43,,1.3274272680282593,43
44,1.3904685974121094,,44
44,,1.3278316259384155,44
45,1.387657880783081,,45
45,,1.328301191329956,45
46,1.3849660158157349,,46
46,,1.3288700580596924,46
47,1.3823882341384888,,47
47,,1.3294986486434937,47
48,1.379923939704895,,48
48,,1.3301613330841064,48
49,1.3775640726089478,,49
49,,1.3308734893798828,49
50,1.3753021955490112,,50
50,,1.3315995931625366,50
51,1.373131275177002,,51
51,,1.3323168754577637,51
52,1.3710551261901855,,52
52,,1.3329955339431763,52
53,1.3690842390060425,,53
53,,1.3336360454559326,53
54,1.3671989440917969,,54
54,,1.334220051765442,54
55,1.365375280380249,,55
55,,1.334742784500122,55
56,1.3636226654052734,,56
56,,1.3352259397506714,56
57,1.3619366884231567,,57
57,,1.33566153049469,57
58,1.3603060245513916,,58
58,,1.336022973060608,58
59,1.3587332963943481,,59
59,,1.336314082145691,59
60,1.3572132587432861,,60
60,,1.336545467376709,60
