epoch,outcome_train_loss,outcome_val_loss,step
0,1.7242558002471924,,0
0,,1.7135989665985107,0
1,1.7222135066986084,,1
1,,1.7115823030471802,1
2,1.7201755046844482,,2
2,,1.7095698118209839,2
3,1.7181413173675537,,3
3,,1.7075613737106323,3
4,1.7161109447479248,,4
4,,1.705557107925415,4
5,1.7140854597091675,,5
5,,1.7035571336746216,5
6,1.7120636701583862,,6
6,,1.7015613317489624,6
7,1.7100461721420288,,7
7,,1.6995699405670166,7
8,1.7080327272415161,,8
8,,1.6975828409194946,8
9,1.7060238122940063,,9
9,,1.6955997943878174,9
10,1.7040191888809204,,10
10,,1.6936213970184326,10
11,1.7020184993743896,,11
11,,1.6916471719741821,11
12,1.7000224590301514,,12
12,,1.6896768808364868,12
13,1.6980304718017578,,13
13,,1.6877110004425049,13
14,1.696042537689209,,14
14,,1.6857492923736572,14
15,1.6940587759017944,,15
15,,1.6837915182113647,15
16,1.6920793056488037,,16
16,,1.6818379163742065,16
17,1.690103530883789,,17
17,,1.679888129234314,17
18,1.6881320476531982,,18
18,,1.6779423952102661,18
19,1.6861642599105835,,19
19,,1.6760003566741943,19
20,1.684200406074524,,20
20,,1.6740620136260986,20
21,1.6822402477264404,,21
21,,1.6721271276474,21
22,1.6802839040756226,,22
22,,1.6701959371566772,22
23,1.678330898284912,,23
23,,1.668268084526062,23
24,1.6763813495635986,,24
24,,1.6663434505462646,24
25,1.6744352579116821,,25
25,,1.6644220352172852,25
26,1.6724926233291626,,26
26,,1.662503719329834,26
27,1.6705528497695923,,27
27,,1.6605885028839111,27
28,1.6686161756515503,,28
28,,1.6586757898330688,28
29,1.666682481765747,,29
29,,1.6567659378051758,29
30,1.6647511720657349,,30
30,,1.6548585891723633,30
31,1.662822961807251,,31
31,,1.6529536247253418,31
32,1.660897135734558,,32
32,,1.6510509252548218,32
33,1.6589735746383667,,33
33,,1.6491507291793823,33
34,1.6570523977279663,,34
34,,1.647252082824707,34
35,1.6551334857940674,,35
35,,1.6453558206558228,35
36,1.6532164812088013,,36
36,,1.6434612274169922,36
37,1.651301383972168,,37
37,,1.6415683031082153,37
38,1.649388074874878,,38
38,,1.6396769285202026,38
39,1.6474764347076416,,39
39,,1.637787103652954,39
40,1.645566463470459,,40
40,,1.6358985900878906,40
41,1.6436576843261719,,41
41,,1.6340112686157227,41
42,1.641750693321228,,42
42,,1.6321251392364502,42
43,1.6398444175720215,,43
43,,1.6302404403686523,43
44,1.6379395723342896,,44
44,,1.6283563375473022,44
45,1.6360357999801636,,45
45,,1.6264729499816895,45
46,1.634132981300354,,46
46,,1.6245908737182617,46
47,1.6322311162948608,,47
47,,1.6227092742919922,47
48,1.6303297281265259,,48
48,,1.6208279132843018,48
49,1.6284294128417969,,49
