epoch,exposure_train_loss,exposure_val_loss,step
0,2.686755657196045,,0
0,,2.526427984237671,0
1,2.6780712604522705,,1
1,,2.5325894355773926,1
2,2.669609308242798,,2
2,,2.5386252403259277,2
3,2.6613709926605225,,3
3,,2.544522285461426,3
4,2.6533610820770264,,4
4,,2.5502779483795166,4
5,2.6455769538879395,,5
5,,2.5558788776397705,5
6,2.6380131244659424,,6
6,,2.5613253116607666,6
7,2.6306862831115723,,7
7,,2.5666089057922363,7
8,2.6236140727996826,,8
8,,2.5717053413391113,8
9,2.6168105602264404,,9
9,,2.576608180999756,9
10,2.6102895736694336,,10
10,,2.581317901611328,10
11,2.604022979736328,,11
11,,2.585822820663452,11
12,2.5979905128479004,,12
12,,2.5900797843933105,12
13,2.5922162532806396,,13
13,,2.594078302383423,13
14,2.586646318435669,,14
14,,2.597762107849121,14
15,2.5813186168670654,,15
15,,2.601133346557617,15
