epoch,exposure_train_loss,exposure_val_loss,step
0,2.8592464923858643,,0
0,,2.5582056045532227,0
1,2.8444440364837646,,1
1,,2.555506944656372,1
2,2.829820394515991,,2
2,,2.552778959274292,2
3,2.8153886795043945,,3
3,,2.5500032901763916,3
4,2.8011667728424072,,4
4,,2.547157049179077,4
5,2.787118673324585,,5
5,,2.5442566871643066,5
6,2.7732858657836914,,6
6,,2.5412988662719727,6
7,2.7596592903137207,,7
7,,2.538252115249634,7
8,2.7462143898010254,,8
8,,2.5350823402404785,8
9,2.7329673767089844,,9
9,,2.531773090362549,9
10,2.719913959503174,,10
10,,2.528310537338257,10
11,2.7070672512054443,,11
11,,2.5246927738189697,11
12,2.6944644451141357,,12
12,,2.520921468734741,12
13,2.6821024417877197,,13
13,,2.517021894454956,13
14,2.669970989227295,,14
14,,2.512988328933716,14
15,2.658041000366211,,15
15,,2.5087685585021973,15
16,2.6463420391082764,,16
16,,2.5043723583221436,16
17,2.634885787963867,,17
17,,2.499851942062378,17
18,2.623685598373413,,18
18,,2.495208501815796,18
19,2.612717390060425,,19
19,,2.4904727935791016,19
20,2.6020078659057617,,20
20,,2.485628604888916,20
21,2.5915658473968506,,21
21,,2.4807426929473877,21
22,2.581406593322754,,22
22,,2.4757683277130127,22
23,2.571500778198242,,23
23,,2.470829725265503,23
24,2.561831474304199,,24
24,,2.4658873081207275,24
25,2.552421808242798,,25
25,,2.4609477519989014,25
26,2.5432982444763184,,26
26,,2.456094741821289,26
27,2.5344533920288086,,27
27,,2.4512720108032227,27
28,2.525848388671875,,28
28,,2.446584463119507,28
29,2.5174849033355713,,29
29,,2.442058563232422,29
30,2.5093836784362793,,30
30,,2.437638759613037,30
31,2.5015387535095215,,31
31,,2.433375597000122,31
32,2.493939161300659,,32
32,,2.4293010234832764,32
33,2.486579179763794,,33
33,,2.4253921508789062,33
34,2.4794585704803467,,34
34,,2.4217069149017334,34
35,2.472579002380371,,35
35,,2.4182093143463135,35
36,2.465928316116333,,36
36,,2.415027379989624,36
37,2.4595024585723877,,37
37,,2.4120426177978516,37
38,2.453291893005371,,38
38,,2.4092648029327393,38
39,2.447253465652466,,39
39,,2.4066879749298096,39
40,2.4413886070251465,,40
40,,2.404275417327881,40
41,2.435697317123413,,41
41,,2.4019954204559326,41
42,2.430187940597534,,42
42,,2.39994740486145,42
43,2.424854040145874,,43
43,,2.3980724811553955,43
44,2.419689655303955,,44
44,,2.396345376968384,44
45,2.414698600769043,,45
45,,2.394773483276367,45
46,2.40985369682312,,46
46,,2.3932762145996094,46
47,2.405151605606079,,47
47,,2.3918604850769043,47
48,2.400613784790039,,48
48,,2.3905553817749023,48
49,2.396224021911621,,49
49,,2.389303207397461,49
50,2.391986846923828,,50
50,,2.3880858421325684,50
51,2.387904167175293,,51
51,,2.3869802951812744,51
52,2.3839564323425293,,52
52,,2.38594651222229,52
53,2.380143642425537,,53
53,,2.384936809539795,53
54,2.376469373703003,,54
54,,2.3839564323425293,54
55,2.3729159832000732,,55
55,,2.383066415786743,55
56,2.3694822788238525,,56
56,,2.3822288513183594,56
57,2.3661584854125977,,57
57,,2.381416082382202,57
58,2.362954616546631,,58
58,,2.380631685256958,58
59,2.3598759174346924,,59
59,,2.379869222640991,59
60,2.3568994998931885,,60
60,,2.379096269607544,60
61,2.354010820388794,,61
61,,2.3783257007598877,61
62,2.351224184036255,,62
62,,2.3775410652160645,62
63,2.3485267162323,,63
63,,2.376725435256958,63
64,2.3459224700927734,,64
64,,2.375939130783081,64
65,2.3433938026428223,,65
65,,2.375129222869873,65
66,2.34094500541687,,66
66,,2.3742873668670654,66
67,2.338578224182129,,67
67,,2.3734328746795654,67
68,2.336275577545166,,68
68,,2.372572660446167,68
69,2.3340349197387695,,69
69,,2.3717041015625,69
70,2.3318638801574707,,70
70,,2.3708319664001465,70
71,2.329774856567383,,71
71,,2.3699448108673096,71
72,2.327758312225342,,72
72,,2.369048833847046,72
73,2.3258121013641357,,73
73,,2.3681583404541016,73
74,2.323922872543335,,74
74,,2.3672537803649902,74
75,2.322084903717041,,75
75,,2.366333246231079,75
76,2.320295810699463,,76
76,,2.3654019832611084,76
77,2.318556070327759,,77
77,,2.364459991455078,77
78,2.316861391067505,,78
78,,2.3635098934173584,78
79,2.315207004547119,,79
79,,2.3625452518463135,79
80,2.3135921955108643,,80
80,,2.3615663051605225,80
81,2.3120102882385254,,81
81,,2.360584259033203,81
82,2.3104629516601562,,82
82,,2.3596014976501465,82
83,2.308945417404175,,83
83,,2.358614683151245,83
84,2.3074636459350586,,84
84,,2.3576323986053467,84
85,2.3060104846954346,,85
85,,2.3566534519195557,85
86,2.3045852184295654,,86
86,,2.355673313140869,86
87,2.3031907081604004,,87
87,,2.354701280593872,87
88,2.301828384399414,,88
88,,2.353740692138672,88
89,2.300492286682129,,89
89,,2.352790355682373,89
90,2.2991793155670166,,90
90,,2.3518526554107666,90
91,2.2978944778442383,,91
91,,2.350919246673584,91
92,2.296633720397949,,92
92,,2.349998712539673,92
93,2.2953977584838867,,93
93,,2.3490917682647705,93
94,2.294188976287842,,94
94,,2.348209857940674,94
95,2.2930023670196533,,95
95,,2.347346782684326,95
96,2.2918343544006348,,96
96,,2.3464884757995605,96
97,2.290684223175049,,97
97,,2.3456356525421143,97
98,2.289552688598633,,98
98,,2.344791889190674,98
99,2.288439989089966,,99
99,,2.3439528942108154,99
100,2.287346124649048,,100
100,,2.343118667602539,100
101,2.286269187927246,,101
101,,2.3422889709472656,101
102,2.285205125808716,,102
102,,2.341461420059204,102
103,2.2841553688049316,,103
103,,2.340635299682617,103
104,2.2831156253814697,,104
104,,2.339811325073242,104
105,2.282087802886963,,105
105,,2.3389878273010254,105
106,2.2810723781585693,,106
106,,2.338167428970337,106
107,2.2800683975219727,,107
107,,2.337354898452759,107
108,2.2790770530700684,,108
108,,2.3365423679351807,108
109,2.2780990600585938,,109
109,,2.3357324600219727,109
