epoch,exposure_train_loss,exposure_val_loss,step
0,2.9243528842926025,,0
0,,2.66483998298645,0
1,2.911133289337158,,1
1,,2.671879291534424,1
2,2.898144245147705,,2
2,,2.678647994995117,2
3,2.8853507041931152,,3
3,,2.6851508617401123,3
4,2.8727262020111084,,4
4,,2.691324234008789,4
5,2.8602912425994873,,5
5,,2.6971423625946045,5
6,2.8480424880981445,,6
6,,2.702606439590454,6
7,2.8360025882720947,,7
7,,2.707653284072876,7
8,2.8241512775421143,,8
8,,2.7122440338134766,8
9,2.812495470046997,,9
9,,2.7162833213806152,9
