epoch,outcome_train_loss,outcome_val_loss,step
0,1.9409675598144531,,0
0,,1.9812299013137817,0
1,1.9405007362365723,,1
1,,1.9808188676834106,1
2,1.9400442838668823,,2
2,,1.98041832447052,2
3,1.9395986795425415,,3
3,,1.9800288677215576,3
4,1.939164161682129,,4
4,,1.9796500205993652,4
5,1.9387407302856445,,5
5,,1.979282259941101,5
6,1.9383282661437988,,6
6,,1.978925347328186,6
7,1.93792724609375,,7
7,,1.9785796403884888,7
8,1.9375371932983398,,8
8,,1.9782447814941406,8
9,1.9371589422225952,,9
9,,1.9779211282730103,9
10,1.9367915391921997,,10
10,,1.977608561515808,10
11,1.9364358186721802,,11
11,,1.977306604385376,11
12,1.9360913038253784,,12
12,,1.9770159721374512,12
13,1.9357582330703735,,13
13,,1.976736307144165,13
14,1.9354362487792969,,14
14,,1.976467490196228,14
15,1.935125708580017,,15
15,,1.9762095212936401,15
16,1.934826135635376,,16
16,,1.9759620428085327,16
17,1.9345380067825317,,17
17,,1.9757250547409058,17
18,1.934260606765747,,18
18,,1.9754987955093384,18
19,1.933994174003601,,19
19,,1.9752824306488037,19
20,1.933738350868225,,20
20,,1.9750761985778809,20
21,1.9334931373596191,,21
21,,1.9748800992965698,21
22,1.9332585334777832,,22
22,,1.9746935367584229,22
23,1.933034062385559,,23
23,,1.9745168685913086,23
24,1.9328196048736572,,24
24,,1.9743492603302002,24
25,1.9326155185699463,,25
25,,1.9741911888122559,25
26,1.9324206113815308,,26
26,,1.9740415811538696,26
27,1.932235598564148,,27
27,,1.9739006757736206,27
28,1.9320595264434814,,28
28,,1.9737684726715088,28
29,1.9318925142288208,,29
29,,1.9736440181732178,29
30,1.9317344427108765,,30
30,,1.9735280275344849,30
31,1.9315849542617798,,31
31,,1.9734193086624146,31
32,1.9314435720443726,,32
32,,1.973318338394165,32
33,1.9313105344772339,,33
33,,1.9732242822647095,33
34,1.931185007095337,,34
34,,1.9731370210647583,34
35,1.9310671091079712,,35
35,,1.973056435585022,35
36,1.9309563636779785,,36
36,,1.9729821681976318,36
37,1.9308527708053589,,37
37,,1.9729137420654297,37
38,1.930755853652954,,38
38,,1.972851276397705,38
39,1.930665135383606,,39
39,,1.9727940559387207,39
40,1.9305808544158936,,40
40,,1.972741961479187,40
41,1.93050217628479,,41
41,,1.9726951122283936,41
42,1.930429220199585,,42
42,,1.9726523160934448,42
43,1.9303616285324097,,43
43,,1.9726145267486572,43
44,1.9302990436553955,,44
44,,1.9725805521011353,44
45,1.9302412271499634,,45
45,,1.972550392150879,45
46,1.9301879405975342,,46
46,,1.9725239276885986,46
47,1.9301390647888184,,47
47,,1.9725006818771362,47
48,1.9300942420959473,,48
48,,1.9724805355072021,48
49,1.9300532341003418,,49
49,,1.972463607788086,49
50,1.9300158023834229,,50
50,,1.9724490642547607,50
51,1.9299817085266113,,51
51,,1.9724369049072266,51
52,1.9299507141113281,,52
52,,1.9724270105361938,52
53,1.9299226999282837,,53
53,,1.9724191427230835,53
54,1.9298971891403198,,54
54,,1.972413182258606,54
55,1.929874300956726,,55
55,,1.9724088907241821,55
56,1.9298537969589233,,56
56,,1.972406268119812,56
57,1.929835319519043,,57
57,,1.9724045991897583,57
58,1.9298189878463745,,58
58,,1.9724041223526,58
59,1.9298042058944702,,59
59,,1.9724048376083374,59
60,1.9297912120819092,,60
60,,1.9724063873291016,60
61,1.9297795295715332,,61
61,,1.972408652305603,61
62,1.929769515991211,,62
62,,1.9724115133285522,62
63,1.9297605752944946,,63
63,,1.9724150896072388,63
64,1.9297528266906738,,64
64,,1.9724186658859253,64
65,1.9297457933425903,,65
65,,1.9724231958389282,65
66,1.9297398328781128,,66
66,,1.9724277257919312,66
67,1.9297345876693726,,67
67,,1.9724323749542236,67
68,1.9297301769256592,,68
68,,1.9724370241165161,68
69,1.929726243019104,,69
69,,1.9724420309066772,69
70,1.9297231435775757,,70
70,,1.9724469184875488,70
71,1.9297199249267578,,71
71,,1.9724515676498413,71
72,1.9297176599502563,,72
72,,1.972456455230713,72
73,1.929715633392334,,73
73,,1.9724608659744263,73
74,1.9297137260437012,,74
74,,1.9724652767181396,74
75,1.929712176322937,,75
75,,1.9724698066711426,75
76,1.9297109842300415,,76
76,,1.9724737405776978,76
77,1.929709792137146,,77
77,,1.9724775552749634,77
78,1.92970871925354,,78
78,,1.9724812507629395,78
