epoch,exposure_train_loss,exposure_val_loss,step
0,2.7666308879852295,,0
0,,2.4847984313964844,0
1,2.7529966831207275,,1
1,,2.485438585281372,1
2,2.739610195159912,,2
2,,2.4858529567718506,2
3,2.7264604568481445,,3
3,,2.4860401153564453,3
4,2.7135419845581055,,4
4,,2.4860150814056396,4
5,2.700866222381592,,5
5,,2.4857847690582275,5
6,2.688401937484741,,6
6,,2.4853177070617676,6
7,2.676159620285034,,7
7,,2.4846084117889404,7
8,2.6641626358032227,,8
8,,2.4836671352386475,8
9,2.6523988246917725,,9
9,,2.4824724197387695,9
