epoch,exposure_train_loss,exposure_val_loss,step
0,2.7479238510131836,,0
0,,2.3859376907348633,0
1,2.734844446182251,,1
1,,2.39062237739563,1
2,2.7219202518463135,,2
2,,2.395137310028076,2
3,2.709182024002075,,3
3,,2.399451494216919,3
4,2.6966452598571777,,4
4,,2.4035263061523438,4
5,2.6843032836914062,,5
5,,2.407327175140381,5
6,2.672175645828247,,6
6,,2.410834789276123,6
7,2.6602368354797363,,7
7,,2.4140188694000244,7
8,2.648481607437134,,8
8,,2.4168508052825928,8
9,2.6369311809539795,,9
9,,2.4192910194396973,9
10,2.6256136894226074,,10
10,,2.4213457107543945,10
11,2.6145029067993164,,11
11,,2.422994613647461,11
12,2.6036176681518555,,12
12,,2.424234628677368,12
13,2.5929532051086426,,13
13,,2.4250378608703613,13
14,2.5825283527374268,,14
14,,2.4253182411193848,14
15,2.5723044872283936,,15
15,,2.42512845993042,15
16,2.562319278717041,,16
16,,2.4243993759155273,16
17,2.5525600910186768,,17
17,,2.4231088161468506,17
18,2.5430121421813965,,18
18,,2.4212875366210938,18
19,2.53365421295166,,19
19,,2.418966293334961,19
20,2.524528741836548,,20
20,,2.416144371032715,20
